promotion_id,promotion_name,mfg_multi_pack_flag,outlet_multi_pack_flag,tob_promo_flag,effective_end_date,effective_start_date,manufacturer_name,mfg_multi_pack_qty,mfg_promo_desc,outlet_multi_pack_qty,promo_amount,promo_desc,promo_percent,promotion_discount_method,provider_name,store_pays_amount,store_pays_disc_type,store_pays_percent,vendor_pays_amount,vendor_pays_disc_type,vendor_pays_percent
6,Pepsi Celsius 16z Q1 2025,f,f,f,,,,,,,0.29,,,mixAndMatchOffer,,,,,,,
29,RCI Coke 16z,f,f,f,,,,,,,0.24,,,mixAndMatchOffer,,,,,,,
20,Planters 2 for Promo,f,f,f,,,,,,,0.15,,,mixAndMatchOffer,,,,,,,
2,2024 Red Bull 8z,f,f,f,,,,,,,0.34,,,mixAndMatchOffer,,,,,,,
27,RCI Coke 12z,f,f,f,,,,,,,0.09,,,mixAndMatchOffer,,,,,,,
65,Pepsi Gatorade 28z Q2 2025,f,f,f,,,,,,,1.59,,,mixAndMatchOffer,,,,,,,
22,Pepsi Rockstar 16z Q1 2025,f,f,f,,,,,,,0.37,,,mixAndMatchOffer,,,,,,,
31,RCI Ice Mountain 1L,f,f,f,,,,,,,0.24,,,mixAndMatchOffer,,,,,,,
10,Pepsi Celsius 12z Q1 2025,f,f,f,,,,,,,0.37,,,mixAndMatchOffer,,,,,,,
1,2024 Red Bull 12z,f,f,f,,,,,,,0.64,,,mixAndMatchOffer,,,,,,,
67,Zyn Rolls Save 3,f,f,f,,,,,,,3.00,,,mixAndMatchOffer,,,,,,,
21,Pepsi Starbucks DS Q1 2025,f,f,f,,,,,,,0.69,,,mixAndMatchOffer,,,,,,,
38,RCI Monster 16Z,f,f,f,,,,,,,0.49,,,mixAndMatchOffer,,,,,,,
30,RCI Ice Mountain Sport Top,f,f,f,,,,,,,0.27,,,mixAndMatchOffer,,,,,,,