promotion_id,promotion_name,mfg_multi_pack_flag,outlet_multi_pack_flag,tob_promo_flag,effective_end_date,effective_start_date,manufacturer_name,mfg_multi_pack_qty,mfg_promo_desc,outlet_multi_pack_qty,promo_amount,promo_desc,promo_percent,promotion_discount_method,provider_name,store_pays_amount,store_pays_disc_type,store_pays_percent,vendor_pays_amount,vendor_pays_disc_type,vendor_pays_percent
1,2024 Red Bull 12z,false,false,false,,,,,,,0.64,,,mixAndMatchOffer,,,,,,,
2,2024 Red Bull 8z,false,false,false,,,,,,,0.34,,,mixAndMatchOffer,,,,,,,
3,Pepsi 1L Q1 2025,false,false,false,,,,,,,,,,,,,,,,,
6,Pepsi Celsius 16z Q1 2025,false,false,false,,,,,,,0.29,,,mixAndMatchOffer,,,,,,,
7,"""Pepsi Celsius 12z Q1 2025""",false,false,false,,,,,,,0.37,,,,,,,,,,
10,Pepsi Celsius 12z Q1 2025,false,false,false,,,,,,,0.37,,,mixAndMatchOffer,,,,,,,
13,Pepsi 20z Q1 2025,false,false,false,,,,,,,0.44,,,mixAndMatchOffer,,,,,,,
14,2024 RCI All Non Marb Buy 2,false,false,false,,,,,,,0.50,,,mixAndMatchOffer,,,,,,,
18,Pepsi Starbucks Frapp Q1 2025,false,false,false,,,,,,,0.69,,,mixAndMatchOffer,,,,,,,
20,Planters 2 for Promo,false,false,false,,,,,,,0.15,,,mixAndMatchOffer,,,,,,,
21,Pepsi Starbucks DS Q1 2025,false,false,false,,,,,,,0.69,,,mixAndMatchOffer,,,,,,,
22,Pepsi Rockstar 16z Q1 2025,false,false,false,,,,,,,0.37,,,mixAndMatchOffer,,,,,,,
24,RCI Altria Marlboro Buy 2 July 2024,false,false,false,,,,,,,0.90,,,mixAndMatchOffer,,,,,,,
25,RCI Altria Marlboro Buy 4 July 2024,false,false,false,,,,,,,,,,,,,,,,,
27,RCI Coke 12z,false,false,false,,,,,,,0.09,,,mixAndMatchOffer,,,,,,,
28,RCI Donuts 2 for 250,false,false,false,,,,,,,0.34,,,mixAndMatchOffer,,,,,,,
29,RCI Coke 16z,false,false,false,,,,,,,0.24,,,mixAndMatchOffer,,,,,,,
30,RCI Ice Mountain Sport Top,false,false,false,,,,,,,0.27,,,mixAndMatchOffer,,,,,,,
31,RCI Ice Mountain 1L,false,false,false,,,,,,,0.24,,,mixAndMatchOffer,,,,,,,
38,RCI Monster 16Z,false,false,false,,,,,,,0.49,,,mixAndMatchOffer,,,,,,,
39,RCI Smart Water 1L,false,false,false,,,,,,,0.54,,,mixAndMatchOffer,,,,,,,
41,2025 Altria ON Buy 3 for 1150,false,false,false,,,,,,,0.31,,,mixAndMatchOffer,,,,,,,
43,RCI Bucked Up 16z,false,false,false,,,,,,,0.37,,,mixAndMatchOffer,,,,,,,
44,Buy 2 Save 1 Copenhagen,false,false,false,,,,,,,,,,,,,,,,,
60,Zyn Buy 2 for 449,false,false,false,,,,,,,1.30,,,mixAndMatchOffer,,,,,,,
65,Pepsi Gatorade 28z Q2 2025,false,false,false,,,,,,,1.59,,,mixAndMatchOffer,,,,,,,
67,Zyn Rolls Save 3,false,false,false,,,,,,,3.00,,,mixAndMatchOffer,,,,,,,
1134,RCI Donuts 2 for 2,false,false,false,,,,,,,,,,,,,,,,,